<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,30,090107,110000,301.4900000,301.5000000,297.0200000,301.2900000,8274
CHMF,30,090107,113000,301.0000000,301.4300000,299.1100000,299.1100000,5788
CHMF,30,090107,120000,299.2500000,300.8500000,299.0100000,300.8500000,5742
CHMF,30,090107,123000,300.7900000,300.8500000,300.0000000,300.0000000,8331
CHMF,30,090107,130000,299.6100000,300.0000000,298.0300000,298.0300000,4004
CHMF,30,090107,133000,298.1200000,300.0000000,298.0000000,298.0000000,17390
CHMF,30,090107,140000,298.0000000,298.5100000,297.2500000,297.2500000,8070
CHMF,30,090107,143000,298.3500000,298.4900000,298.0000000,298.4700000,1418
CHMF,30,090107,150000,298.4600000,298.5000000,296.2000000,296.5000000,23769
CHMF,30,090107,153000,296.5000000,296.7900000,291.1100000,292.0100000,13708
CHMF,30,090107,160000,292.0200000,293.2500000,292.0100000,293.2500000,3498
CHMF,30,090107,163000,293.0000000,293.0000000,292.0500000,292.1100000,5422
CHMF,30,090107,170000,292.1100000,292.1100000,289.3000000,289.3000000,30245
CHMF,30,090107,173000,289.3000000,291.5500000,289.0000000,291.5500000,4594
CHMF,30,090107,180000,291.5500000,293.0400000,289.8000000,291.7500000,7764
CHMF,30,090107,183000,292.5000000,292.6900000,291.0500000,291.0500000,817
CHMF,30,090107,190000,291.1100000,292.1700000,291.0000000,291.5000000,1003
CHMF,30,100107,110000,292.0000000,300.0000000,288.7700000,300.0000000,18092
CHMF,30,100107,113000,297.8700000,326.6000000,289.0100000,298.0000000,87946
CHMF,30,100107,120000,298.0000000,299.0000000,297.5100000,298.0000000,7668
CHMF,30,100107,123000,298.0000000,299.8900000,296.9900000,297.0000000,17627
CHMF,30,100107,130000,296.8000000,296.9900000,295.0500000,296.1000000,20441
CHMF,30,100107,133000,296.0000000,296.0000000,294.2000000,295.0000000,16223
CHMF,30,100107,140000,295.0000000,296.0000000,293.1000000,293.1500000,18806
CHMF,30,100107,143000,293.9900000,295.0000000,293.1800000,294.9700000,3700
CHMF,30,100107,150000,294.0000000,295.0000000,292.0000000,292.0000000,8420
CHMF,30,100107,153000,292.0000000,294.9800000,290.2200000,293.4000000,13858
CHMF,30,100107,160000,293.4000000,297.2000000,293.3100000,297.2000000,9457
CHMF,30,100107,163000,297.1500000,298.4000000,294.0000000,295.9900000,42574
CHMF,30,100107,170000,295.9700000,298.5000000,295.5100000,296.5000000,90569
CHMF,30,100107,173000,296.4900000,296.5000000,294.5100000,296.0000000,44424
CHMF,30,100107,180000,296.2400000,296.3000000,294.6000000,295.0000000,4867
CHMF,30,100107,183000,294.7100000,296.3100000,294.6000000,296.0000000,11748
CHMF,30,100107,190000,296.0000000,296.3300000,294.6500000,296.3300000,12139
CHMF,30,110107,110000,299.0000000,300.5000000,296.9900000,299.0000000,56747
CHMF,30,110107,113000,299.5800000,300.0100000,298.0000000,298.0300000,22262
CHMF,30,110107,120000,298.0800000,301.0000000,298.0000000,300.0000000,9805
CHMF,30,110107,123000,300.8000000,301.2600000,299.0000000,299.0000000,34320
CHMF,30,110107,130000,299.0000000,299.9600000,298.5000000,299.1200000,59095
CHMF,30,110107,133000,299.1200000,300.0000000,298.7100000,299.4000000,10647
CHMF,30,110107,140000,300.0000000,300.0000000,298.5500000,299.0000000,8242
CHMF,30,110107,143000,299.0000000,299.9000000,298.5000000,299.0000000,12736
CHMF,30,110107,150000,298.9900000,299.0000000,297.0500000,298.0000000,11621
CHMF,30,110107,153000,298.0000000,298.0000000,294.5700000,295.8300000,28025
CHMF,30,110107,160000,295.7900000,295.7900000,293.6000000,295.0000000,44475
CHMF,30,110107,163000,295.0000000,295.8800000,294.9900000,295.8700000,10065
CHMF,30,110107,170000,295.8700000,296.9800000,294.9900000,296.0000000,49253
CHMF,30,110107,173000,295.9800000,296.0100000,294.9600000,294.9600000,28278
CHMF,30,110107,180000,294.9500000,296.8000000,294.8500000,295.5000000,44133
CHMF,30,110107,183000,295.5000000,296.0000000,294.9200000,295.0000000,138924
CHMF,30,110107,190000,295.0000000,296.3600000,295.0000000,296.3500000,8783
CHMF,30,120107,110000,297.0000000,298.9500000,295.8300000,296.0000000,36899
CHMF,30,120107,113000,296.0000000,299.7700000,296.0000000,299.0000000,74192
CHMF,30,120107,120000,299.0700000,302.0000000,299.0000000,300.0100000,87991
CHMF,30,120107,123000,300.0100000,305.0000000,300.0000000,304.5000000,96468
CHMF,30,120107,130000,304.4500000,317.5000000,304.4500000,316.0000000,319213
CHMF,30,120107,133000,315.1100000,316.4000000,312.1200000,314.5000000,96730
CHMF,30,120107,140000,314.5000000,315.4900000,312.0000000,312.5000000,47210
CHMF,30,120107,143000,312.9900000,315.7000000,311.0000000,313.9800000,51235
