<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,30,140109,110000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,113000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,120000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,123000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,130000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,133000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,140000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,143000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,150000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,153000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,160000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,163000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,170000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,173000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,180000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,183000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,0
LNZL,30,140109,190000,1400.0000000,1400.0000000,1400.0000000,1400.0000000,2
LNZL,30,150109,110000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,113000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,120000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,123000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,130000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,133000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,140000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,143000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,150000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,153000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,160000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,163000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,170000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,173000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,180000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,183000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,0
LNZL,30,150109,190000,1960.0000000,1960.0000000,1960.0000000,1960.0000000,1
LNZL,30,210109,110000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,113000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,120000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,123000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,130000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,133000,1950.0000000,1950.0000000,1950.0000000,1950.0000000,0
LNZL,30,210109,140000,1950.0000000,1950.0000000,1800.0000000,1830.0000000,3
LNZL,30,210109,143000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,150000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,153000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,160000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,163000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,170000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,173000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,180000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,183000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,210109,190000,1830.0000000,1830.0000000,1830.0000000,1830.0000000,0
LNZL,30,230109,110000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,113000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,120000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,123000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,130000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,133000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,140000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,143000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,150000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,153000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,160000,1650.0000000,1650.0000000,1650.0000000,1650.0000000,0
LNZL,30,230109,163000,1650.0000000,1700.0000000,1650.0000000,1700.0000000,2
LNZL,30,230109,170000,1700.0000000,1700.0000000,1700.0000000,1700.0000000,0
LNZL,30,230109,173000,1700.0000000,1700.0000000,1700.0000000,1700.0000000,0
LNZL,30,230109,180000,1700.0000000,1700.0000000,1700.0000000,1700.0000000,0
LNZL,30,230109,183000,1700.0000000,1700.0000000,1700.0000000,1700.0000000,0
LNZL,30,230109,190000,1700.0000000,1700.0000000,1700.0000000,1700.0000000,0
LNZL,30,260109,110000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,113000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,120000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,123000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,130000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,133000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,140000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,143000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,150000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,153000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,160000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,0
LNZL,30,260109,163000,1695.0000000,1695.0000000,1695.0000000,1695.0000000,2
LNZL,30,260109,170000,1719.0000000,1719.0000000,1719.0000000,1719.0000000,0
LNZL,30,260109,173000,1719.0000000,1719.0000000,1719.0000000,1719.0000000,0
