<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,30,090107,110000,89995.0000000,90606.0000000,87600.0000000,89800.0000000,8001
SBER,30,090107,113000,89796.6200000,90050.0000000,89100.0000000,89361.0000000,3664
SBER,30,090107,120000,89361.0100000,90100.0000000,89115.0700000,89922.0000000,2712
SBER,30,090107,123000,89990.0000000,90000.0100000,89500.0000000,89680.0000000,1998
SBER,30,090107,130000,89629.0000000,89677.9100000,88155.0000000,88202.0000000,3270
SBER,30,090107,133000,88299.9900000,88408.9500000,88101.0000000,88200.0000000,971
SBER,30,090107,140000,88200.0000000,88200.0000000,87120.0000000,88000.0000000,4007
SBER,30,090107,143000,87900.0000000,88189.0000000,86670.0000000,86800.0000000,2437
SBER,30,090107,150000,86897.0000000,86990.0000000,85741.0200000,85830.0000000,4161
SBER,30,090107,153000,85830.0100000,86189.0000000,84805.0000000,85299.8600000,5333
SBER,30,090107,160000,85100.2000000,85349.9200000,84811.0000000,85000.0000000,2935
SBER,30,090107,163000,84950.0000000,85392.0000000,84832.0400000,85000.0000000,2574
SBER,30,090107,170000,84900.0000000,84999.9800000,82252.8600000,83100.0000000,5547
SBER,30,090107,173000,83050.0100000,85451.0000000,83050.0000000,85000.0000000,7058
SBER,30,090107,180000,85000.0000000,85385.0000000,83500.9000000,84279.9600000,4811
SBER,30,090107,183000,84279.9600000,84480.0000000,83501.0000000,83900.0200000,3578
SBER,30,090107,190000,83910.0000000,83969.9800000,83525.0000000,83530.0000000,2788
SBER,30,100107,110000,83668.0000000,84888.0000000,82430.0000000,83095.0000000,7668
SBER,30,100107,113000,82999.0000000,84199.9800000,82839.2800000,83810.0000000,6400
SBER,30,100107,120000,83812.0000000,84088.0000000,83100.0000000,83349.9900000,6401
SBER,30,100107,123000,83379.9900000,83588.0000000,82750.0000000,82901.0300000,3921
SBER,30,100107,130000,82903.0000000,83000.0000000,81250.0000000,81800.0000000,7472
SBER,30,100107,133000,81801.0000000,81994.0000000,81417.0000000,81832.0000000,1521
SBER,30,100107,140000,81830.0000000,81963.9900000,80051.0000000,80500.0000000,8348
SBER,30,100107,143000,80500.0200000,80674.0000000,78701.0000000,79550.0000000,9952
SBER,30,100107,150000,79589.9700000,79589.9900000,78800.0200000,79010.0000000,6072
SBER,30,100107,153000,79085.0000000,80174.0000000,79011.2000000,79692.0000000,6823
SBER,30,100107,160000,79505.0200000,81700.0000000,79500.2400000,81390.0000000,7699
SBER,30,100107,163000,81389.9900000,81389.9900000,80300.0000000,80558.0000000,7759
SBER,30,100107,170000,80697.9700000,82100.0000000,80697.9700000,82099.9700000,6141
SBER,30,100107,173000,82001.0400000,83390.0000000,81701.0100000,82703.2000000,7057
SBER,30,100107,180000,82798.9700000,83000.0000000,81358.4600000,81890.0000000,5174
SBER,30,100107,183000,81890.0000000,82498.0000000,81026.0000000,82000.0100000,3620
SBER,30,100107,190000,82001.0000000,82800.0000000,81600.0000000,82599.9900000,3915
SBER,30,110107,110000,82000.0000000,84400.0000000,81555.5500000,83887.9800000,7965
SBER,30,110107,113000,83887.9700000,84169.6900000,83550.0000000,83692.0100000,6149
SBER,30,110107,120000,83692.0100000,85079.0000000,83692.0100000,84500.0000000,6133
SBER,30,110107,123000,84500.0000000,84903.0000000,84402.0100000,84800.0000000,4072
SBER,30,110107,130000,84829.0000000,87833.0000000,84802.0000000,87790.0000000,10801
SBER,30,110107,133000,87789.0000000,88600.0000000,86625.0000000,87100.0400000,12079
SBER,30,110107,140000,87100.0400000,87300.0000000,86150.0000000,86810.0400000,6111
SBER,30,110107,143000,86999.9400000,87275.0000000,86700.0000000,86999.0000000,2978
SBER,30,110107,150000,86998.0000000,87100.0000000,86323.0000000,86425.0000000,3444
SBER,30,110107,153000,86500.0000000,86650.0000000,85500.0500000,85600.0100000,7510
SBER,30,110107,160000,85690.0000000,86500.0000000,85126.0000000,86190.0100000,5907
SBER,30,110107,163000,86200.0000000,86240.0000000,85380.0000000,85390.0000000,3157
SBER,30,110107,170000,85399.9900000,85800.0000000,85125.0000000,85514.4400000,5837
SBER,30,110107,173000,85514.4400000,85770.0000000,85300.0000000,85505.0000000,2276
SBER,30,110107,180000,85580.0000000,87057.9800000,85450.0100000,86470.0000000,10444
SBER,30,110107,183000,86470.0000000,87480.0000000,86405.0400000,87003.0600000,6375
SBER,30,110107,190000,87050.0000000,87100.0000000,86603.1200000,86850.0000000,2503
SBER,30,120107,110000,86750.0000000,87747.9800000,86301.0000000,86900.0000000,13122
SBER,30,120107,113000,86900.0000000,87949.0000000,86800.0000000,87788.0000000,10453
SBER,30,120107,120000,87788.0000000,87923.9800000,87023.0000000,87389.9800000,4403
SBER,30,120107,123000,87389.9800000,87390.0000000,86711.0000000,87005.0000000,4048
SBER,30,120107,130000,87078.0000000,87200.0000000,86701.0200000,86998.0000000,2431
SBER,30,120107,133000,86997.8800000,87165.0000000,86712.0500000,86958.8900000,1474
SBER,30,120107,140000,86958.0200000,87249.9000000,86800.0000000,87010.0000000,1986
SBER,30,120107,143000,87010.0000000,87160.0000000,86900.0000000,87088.9600000,528
SBER,30,120107,150000,87018.1300000,87088.9400000,86875.2000000,86881.0200000,714
SBER,30,120107,153000,86939.5200000,87088.9400000,86875.0000000,87088.9400000,624
SBER,30,120107,160000,86960.0000000,87086.0000000,86135.0000000,86400.0000000,4683
SBER,30,120107,163000,86400.0100000,86770.0000000,86125.0000000,86615.0000000,4254
SBER,30,120107,170000,86699.0000000,86769.0000000,86113.0000000,86502.0000000,2254
SBER,30,120107,173000,86585.0000000,86687.0000000,86123.0000000,86260.1000000,1202
SBER,30,120107,180000,86260.0900000,87385.0000000,86260.0000000,87385.0000000,2990
SBER,30,120107,183000,87385.0000000,87400.0000000,86850.0000000,86871.0000000,3077
SBER,30,120107,190000,86870.0000000,86948.0000000,86651.0300000,86651.0300000,997
SBER,30,150107,110000,87795.0000000,88900.0000000,87700.0000000,88550.0000000,9039
SBER,30,150107,113000,88550.0000000,88950.0000000,88401.0000000,88600.0000000,5418
SBER,30,150107,120000,88600.0000000,89620.0000000,88600.0000000,89500.0000000,6691
SBER,30,150107,123000,89500.0000000,89539.9900000,88661.0000000,89099.9700000,8556
SBER,30,150107,130000,89099.9400000,89100.0000000,88661.0000000,88800.0000000,2475
SBER,30,150107,133000,88720.0000000,88999.9300000,88664.0100000,88880.0000000,890
SBER,30,150107,140000,88880.0000000,88888.8800000,88113.0000000,88350.0000000,2838
SBER,30,150107,143000,88388.0000000,88690.0000000,88350.0000000,88506.0200000,1013
SBER,30,150107,150000,88507.0000000,88899.9800000,88507.0000000,88755.0000000,1829
SBER,30,150107,153000,88840.0000000,89200.0000000,88755.0000000,89189.0000000,3452
SBER,30,150107,160000,89187.8800000,89188.0000000,88903.2000000,88999.9800000,1211
SBER,30,150107,163000,88910.0900000,88990.0000000,88602.5100000,88800.0000000,2671
SBER,30,150107,170000,88882.0000000,89291.9900000,88720.0000000,89032.0300000,2976
SBER,30,150107,173000,89099.9600000,89398.0000000,88850.0000000,89290.0000000,3342
SBER,30,150107,180000,89250.0000000,89820.0000000,89130.0000000,89425.0400000,4653
SBER,30,150107,183000,89486.0000000,89800.0000000,89330.0000000,89700.0000000,3085
SBER,30,150107,190000,89650.2400000,89859.9700000,89500.0000000,89600.0000000,2719
SBER,30,160107,110000,89582.0800000,91650.0000000,89582.0800000,91399.0000000,12126
SBER,30,160107,113000,91301.0600000,91460.0000000,91118.4600000,91385.0000000,2473
SBER,30,160107,120000,91399.9800000,92950.0000000,91300.0400000,92888.0000000,10318
SBER,30,160107,123000,92888.0000000,94949.4900000,92501.1300000,94340.0000000,12192
SBER,30,160107,130000,94400.0000000,94690.0000000,93701.0200000,94199.7800000,6512
