<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,30,090107,110000,3898.0000000,3898.0000000,3795.0000000,3802.0000000,113473
GMKN,30,090107,113000,3802.0000000,3829.9900000,3800.0000000,3826.0000000,58829
GMKN,30,090107,120000,3827.0000000,3828.5000000,3816.0000000,3827.0000000,42786
GMKN,30,090107,123000,3827.0000000,3827.0000000,3806.0000000,3806.0000000,50994
GMKN,30,090107,130000,3806.2200000,3816.0000000,3803.0000000,3810.0000000,36814
GMKN,30,090107,133000,3805.5500000,3810.0000000,3786.0000000,3804.0000000,85036
GMKN,30,090107,140000,3804.0000000,3812.9900000,3798.0000000,3809.7500000,16324
GMKN,30,090107,143000,3811.7700000,3819.4800000,3805.0000000,3808.0000000,17418
GMKN,30,090107,150000,3808.0000000,3810.0000000,3800.0000000,3800.0100000,19727
GMKN,30,090107,153000,3800.0100000,3806.9900000,3789.0000000,3799.9000000,67696
GMKN,30,090107,160000,3795.0000000,3808.0000000,3795.0000000,3803.0000000,19746
GMKN,30,090107,163000,3803.0000000,3808.4900000,3799.0000000,3800.0200000,18974
GMKN,30,090107,170000,3800.0500000,3804.8000000,3788.2000000,3789.9900000,94006
GMKN,30,090107,173000,3789.0000000,3797.0000000,3778.0000000,3796.0300000,52672
GMKN,30,090107,180000,3796.8900000,3802.0000000,3790.0800000,3795.0000000,12378
GMKN,30,090107,183000,3797.5000000,3799.0000000,3770.0000000,3778.8900000,54912
GMKN,30,090107,190000,3777.0000000,3777.0000000,3750.0000000,3755.0000000,52051
GMKN,30,100107,110000,3764.9900000,3777.0000000,3737.3700000,3768.0200000,44321
GMKN,30,100107,113000,3768.0200000,3825.0000000,3768.0000000,3808.0900000,68294
GMKN,30,100107,120000,3808.1000000,3817.1000000,3803.1000000,3813.4400000,23958
GMKN,30,100107,123000,3810.0000000,3814.5000000,3785.0100000,3786.0200000,36695
GMKN,30,100107,130000,3788.0000000,3790.0000000,3760.0000000,3764.1000000,23994
GMKN,30,100107,133000,3766.0000000,3770.0000000,3751.3100000,3755.0000000,36287
GMKN,30,100107,140000,3756.8000000,3763.0000000,3714.0100000,3720.0000000,91236
GMKN,30,100107,143000,3720.0000000,3738.0900000,3701.1000000,3707.2500000,56120
GMKN,30,100107,150000,3711.0000000,3715.1200000,3659.0000000,3660.0000000,97249
GMKN,30,100107,153000,3662.0000000,3684.8000000,3657.0000000,3657.0000000,49295
GMKN,30,100107,160000,3659.9900000,3691.0000000,3657.0000000,3687.0000000,39020
GMKN,30,100107,163000,3688.0000000,3723.1200000,3685.0000000,3719.8000000,90952
GMKN,30,100107,170000,3718.9900000,3753.9500000,3716.0000000,3745.0000000,65751
GMKN,30,100107,173000,3749.9900000,3752.8900000,3735.5300000,3747.9000000,59675
GMKN,30,100107,180000,3746.1000000,3749.4900000,3725.0300000,3730.8300000,13029
GMKN,30,100107,183000,3734.9900000,3738.0000000,3720.0000000,3723.0000000,37733
GMKN,30,100107,190000,3725.0000000,3728.0000000,3690.0000000,3722.9400000,34972
GMKN,30,110107,110000,3730.0000000,3810.0000000,3711.0000000,3798.0000000,184914
GMKN,30,110107,113000,3797.9900000,3838.0000000,3792.1000000,3820.0000000,111709
GMKN,30,110107,120000,3820.0600000,3830.0000000,3806.0000000,3828.0000000,72268
GMKN,30,110107,123000,3829.0000000,3835.0000000,3811.0000000,3830.0000000,84493
GMKN,30,110107,130000,3825.2500000,3848.2000000,3825.2400000,3838.0000000,40085
GMKN,30,110107,133000,3838.0000000,3845.0000000,3825.1200000,3830.3000000,36616
GMKN,30,110107,140000,3830.0000000,3836.8500000,3826.0000000,3835.0000000,20612
GMKN,30,110107,143000,3832.0000000,3838.0000000,3825.0000000,3832.4800000,17150
GMKN,30,110107,150000,3831.9000000,3832.9900000,3825.0000000,3825.0000000,8890
GMKN,30,110107,153000,3824.0000000,3824.0000000,3790.0100000,3796.0100000,114900
GMKN,30,110107,160000,3799.0000000,3812.0000000,3790.2900000,3802.0000000,52900
GMKN,30,110107,163000,3800.9300000,3812.5000000,3792.0000000,3806.0200000,37537
GMKN,30,110107,170000,3810.9900000,3870.0000000,3810.9900000,3853.2000000,101492
GMKN,30,110107,173000,3853.2000000,3864.0000000,3845.0000000,3849.9700000,71442
GMKN,30,110107,180000,3849.9700000,3866.9800000,3849.9500000,3862.1000000,30528
GMKN,30,110107,183000,3862.1000000,3884.9400000,3861.0000000,3876.0000000,103564
GMKN,30,110107,190000,3879.9300000,3907.9800000,3879.9300000,3907.9800000,133968
GMKN,30,120107,110000,3900.0500000,3927.0000000,3882.4000000,3908.0000000,200676
GMKN,30,120107,113000,3905.0000000,3947.0000000,3904.4900000,3931.0000000,119861
GMKN,30,120107,120000,3931.0000000,3935.0000000,3912.6000000,3918.1000000,50352
GMKN,30,120107,123000,3918.1200000,3927.9900000,3886.0000000,3904.5000000,81203
GMKN,30,120107,130000,3903.8700000,3910.0000000,3888.0100000,3899.1000000,28918
GMKN,30,120107,133000,3899.0000000,3908.0000000,3895.0000000,3904.4500000,26209
GMKN,30,120107,140000,3903.1100000,3909.9800000,3894.0600000,3905.0000000,23709
